unique_id,channel_name,relative_start,relative_end,local_start_time,local_end_time,duration_seconds,wav_filename
1,park_ranger_1,00:00:00,00:00:37,09:01:07,09:01:44,37.0,park_ranger_1_20260327_090107.wav
2,park_ranger_1,00:00:37,00:01:01,09:01:44,09:02:09,24.5,park_ranger_1_20260327_090144.wav
